日期,收盘,开盘,高,低,交易量,涨跌幅
2025/5/23,8.25,8.3,8.34,8.25,13.33M,-0.0084 
2025/5/22,8.32,8.39,8.41,8.31,14.20M,-0.0095 
2025/5/21,8.4,8.35,8.41,8.31,21.54M,0.0084 
2025/5/20,8.33,8.28,8.34,8.26,16.14M,0.0060 
2025/5/19,8.28,8.26,8.29,8.23,8.27M,0.0024 
2025/5/16,8.26,8.29,8.31,8.25,10.77M,-0.0036 
2025/5/15,8.29,8.28,8.31,8.25,12.56M,0.0000 
2025/5/14,8.29,8.32,8.32,8.24,15.91M,-0.0048 
2025/5/13,8.33,8.25,8.35,8.24,22.49M,0.0097 
2025/5/12,8.25,8.27,8.27,8.21,16.08M,-0.0024 
2025/5/9,8.27,8.29,8.3,8.25,14.75M,-0.0024 
2025/5/8,8.29,8.3,8.31,8.26,15.45M,-0.0036 
2025/5/7,8.32,8.33,8.37,8.27,23.63M,0.0000 
2025/5/6,8.32,8.24,8.33,8.24,23.76M,0.0109 
2025/4/30,8.23,8.2,8.27,8.14,40.49M,-0.0318 
2025/4/29,8.5,8.47,8.53,8.46,13.52M,0.0047 
2025/4/28,8.46,8.56,8.56,8.43,18.64M,-0.0117 
2025/4/25,8.56,8.62,8.65,8.54,23.21M,-0.0070 
2025/4/24,8.62,8.68,8.73,8.57,22.88M,-0.0058 
2025/4/23,8.67,8.86,8.87,8.66,57.17M,-0.0420 
2025/4/22,9.05,9,9.13,8.85,65.09M,0.0100 
2025/4/21,8.96,8.69,9,8.67,56.57M,0.0382 
2025/4/18,8.63,8.71,8.74,8.57,28.42M,-0.0182 
2025/4/17,8.79,8.84,9.1,8.76,55.09M,0.0000 
2025/4/16,8.79,8.76,8.83,8.63,35.30M,0.0103 
2025/4/15,8.7,8.77,8.77,8.64,22.61M,-0.0080 
2025/4/14,8.77,8.66,8.81,8.54,36.62M,0.0115 
2025/4/11,8.67,8.76,8.9,8.64,55.52M,0.0117 
2025/4/10,8.57,8.35,8.68,8.31,38.72M,0.0363 
2025/4/9,8.27,8.11,8.3,7.88,30.28M,0.0110 
2025/4/8,8.18,7.92,8.18,7.92,34.12M,0.0328 
2025/4/7,7.92,8.4,8.41,7.9,55.45M,-0.0979 
2025/4/3,8.78,8.79,8.88,8.75,25.26M,-0.0023 
2025/4/2,8.8,8.82,8.88,8.71,26.13M,-0.0011 
2025/4/1,8.81,8.86,8.96,8.76,40.40M,0.0034 
2025/3/31,8.78,8.71,8.88,8.7,47.39M,0.0011 
2025/3/28,8.77,8.71,8.8,8.64,38.97M,0.0162 
2025/3/27,8.63,8.62,8.64,8.55,11.88M,0.0012 
2025/3/26,8.62,8.62,8.66,8.59,13.39M,-0.0012 
2025/3/25,8.63,8.54,8.63,8.54,15.75M,0.0082 
2025/3/24,8.56,8.69,8.71,8.47,28.73M,-0.0161 
2025/3/21,8.7,8.76,8.79,8.63,25.05M,-0.0091 
2025/3/20,8.78,8.92,8.93,8.76,25.69M,-0.0124 
2025/3/19,8.89,8.91,8.98,8.82,36.07M,-0.0034 
2025/3/18,8.92,8.77,8.99,8.73,43.35M,0.0194 
2025/3/17,8.75,8.79,8.81,8.73,25.82M,-0.0034 
2025/3/14,8.78,8.9,8.95,8.75,40.50M,0.0069 
2025/3/13,8.72,8.65,8.8,8.63,35.02M,0.0093 
2025/3/12,8.64,8.58,8.68,8.56,26.60M,0.0070 
2025/3/11,8.58,8.48,8.58,8.44,17.16M,0.0070 
2025/3/10,8.52,8.5,8.53,8.46,13.22M,-0.0012 
2025/3/7,8.53,8.51,8.59,8.5,18.10M,-0.0023 
2025/3/6,8.55,8.53,8.56,8.49,18.67M,0.0023 
2025/3/5,8.53,8.5,8.53,8.44,15.47M,0.0047 
2025/3/4,8.49,8.43,8.52,8.4,16.17M,0.0059 
2025/3/3,8.44,8.46,8.54,8.41,17.97M,-0.0035 
2025/2/28,8.47,8.53,8.56,8.46,21.90M,-0.0105 
2025/2/27,8.56,8.55,8.61,8.52,22.35M,0.0012 
2025/2/26,8.55,8.61,8.67,8.52,37.92M,-0.0104 
2025/2/25,8.64,8.68,8.74,8.62,23.59M,-0.0069 
2025/2/24,8.7,8.69,8.73,8.62,21.71M,-0.0011 
2025/2/21,8.71,8.8,8.8,8.66,34.04M,-0.0136 
2025/2/20,8.83,8.75,8.88,8.7,39.44M,0.0103 
2025/2/19,8.74,8.73,8.77,8.67,28.22M,0.0058 
2025/2/18,8.69,8.73,8.76,8.63,34.22M,-0.0069 
2025/2/17,8.75,8.82,8.83,8.69,53.79M,-0.0169 
2025/2/14,8.9,8.96,9.01,8.88,38.24M,-0.0056 
2025/2/13,8.95,9.01,9.09,8.9,57.82M,-0.0100 
2025/2/12,9.04,9.16,9.16,8.94,91.47M,-0.0474 
2025/2/11,9.49,8.68,9.5,8.67,137.38M,0.0984 
2025/2/10,8.64,8.65,8.7,8.61,13.85M,-0.0012 
2025/2/7,8.65,8.62,8.68,8.56,18.68M,0.0035 
2025/2/6,8.62,8.66,8.67,8.52,23.92M,-0.0035 
